edge,ec:a8:6b:fe:46:fd,129.130.10.192
escort,ec:a8:6b:fe:4a:5b,129.130.10.193
festiva,ec:a8:6b:fe:30:3b,129.130.10.194
flex,ec:a8:6b:fe:2f:ec,129.130.10.195
fusion,ec:a8:6b:fe:30:10,129.130.10.196
pilot,ec:a8:6b:fe:2e:e7,129.130.10.197
scorpio,ec:a8:6b:fe:45:f9,129.130.10.198
taurus,ec:a8:6b:fe:45:e3,129.130.10.199
tempo,ec:a8:6b:fe:47:9d,129.130.10.200
batman,08:00:27:0E:4F:88,129.130.10.230
n114t01,00:20:4a:b1:a3:01,129.130.11.1
n018t01,00:20:4a:b1:a0:70,129.130.11.2
n232-savinc5050,00:00:74:f8:7d:ce,129.130.11.3
n126c01,00:40:8c:a3:e9:02,129.130.11.4
n126c02,00:40:8c:9d:9a:0c,129.130.11.5
n128c01,00:40:8c:9d:9b:23,129.130.11.6
n022c01,00:40:8c:a3:e5:b8,129.130.11.7
k006-hp4250,00:14:38:5e:4d:99,129.130.11.8
k006-dlk-1,00:13:46:8c:e7:fb,129.130.11.9
n114c01,00:80:f0:58:d9:8b,129.130.11.10
n021c01,00:40:8c:aa:b4:6a,129.130.11.11
n021c02,00:40:8c:aa:b3:52,129.130.11.12
n122c01,00:40:8c:aa:7b:b8,129.130.11.13
acmrouter,5c:d9:98:5d:34:2b,129.130.11.16
n114s01,04:a1:51:af:9b:cf,129.130.11.17
n122c02,00:40:8c:aa:58:88,129.130.11.18
n016c01,00:40:8c:a0:5f:a9,129.130.11.19
n127c01,00:40:8c:aa:7d:b6,129.130.11.20
k006m02,e8:06:88:ce:ac:0d,129.130.11.51
k006w01,00:11:11:95:ed:a1,129.130.11.52
k006w03,00:11:11:b3:d0:9c,129.130.11.53
k006w11,00:1e:c9:30:7f:2c,129.130.11.54
macintoshpro,00:1d:4f:4b:c6:bc,129.130.11.55
k006grapper,00:04:bf:90:a8:53,129.130.11.56
k006arm,00:04:bf:90:a4:59,129.130.11.57
k006w78,e0:69:95:fc:c3:b4,129.130.11.58
k006w71,00:1c:c0:2c:81:db,129.130.11.59
k006w76,00:1c:c0:2c:81:d4,129.130.11.60
n016a4w71,e0:69:95:e5:56:82,129.130.11.67
n231w71,70:71:bc:1f:5a:35,129.130.11.68
n324ew71,e8:40:f2:ad:37:32,129.130.11.69
n126dw71,00:1e:4f:d7:76:1e,129.130.11.70
n127w79,b8:ac:6f:9f:9a:b7,129.130.11.71
n219dw74,d4:be:d9:1e:30:45,129.130.11.72
n127w77,b8:ac:6f:9f:9a:1e,129.130.11.73
n227aw71,e0:69:95:4f:f8:47,129.130.11.75
n219aw71,00:1c:c0:26:0a:7b,129.130.11.76
n234w72,00:19:d1:b1:ea:e3,129.130.11.78
n234cw71,e0:69:95:4f:f0:08,129.130.11.79
n234ew71,00:19:d1:b1:e9:98,129.130.11.80
n228w03,00:1c:c0:7e:93:fb,129.130.11.81
n219bw73,00:22:68:11:67:95,129.130.11.82
n216w06,00:26:9e:e6:7d:b0,129.130.11.83
n234w79,00:1c:7e:b6:4d:27,129.130.11.84
n236w71,00:1c:c0:7d:69:d1,129.130.11.85
n231w72,44:37:e6:46:26:70,129.130.11.86
n227cw71,a4:ba:db:ec:8f:06,129.130.11.87
n234m01,00:23:32:30:14:74,129.130.11.88
n234w74,70:54:d2:ab:93:2a,129.130.11.89
n234w75,70:54:d2:ab:91:fe,129.130.11.90
n219fw75,e0:69:95:4f:f7:06,129.130.11.91
e2184w01,b8:ae:ed:7b:41:17,129.130.11.92
